"V1","V2","scRNA@meta.data$orig.ident","sample","clusters"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,1,"BC04","BC04","0"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,1,"BC04","BC04","0"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,1,"BC04","BC04","0"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,1,"BC04","BC04","0"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,1,"BC05","BC05","0"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
5,2,"BC05","BC05","1"
6,1,"BC06","BC06","0"
6,4,"BC06","BC06","3"
6,4,"BC06","BC06","3"
6,1,"BC06","BC06","0"
6,4,"BC06","BC06","3"
6,4,"BC06","BC06","3"
6,1,"BC06","BC06","0"
6,4,"BC06","BC06","3"
6,4,"BC06","BC06","3"
6,1,"BC06","BC06","0"
6,3,"BC06","BC06","2"
6,4,"BC06","BC06","3"
6,4,"BC06","BC06","3"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,3,"BC07","BC07","2"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,4,"BC07","BC07","3"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,4,"BC07","BC07","3"
7,4,"BC07","BC07","3"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,1,"BC07","BC07","0"
7,6,"BC07","BC07","5"
7,6,"BC07","BC07","5"
7,1,"BC07","BC07","0"
7,4,"BC07","BC07","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,1,"BC08","BC08","0"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
8,4,"BC08","BC08","3"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,4,"BC09","BC09","3"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
9,1,"BC09","BC09","0"
10,1,"BC10","BC10","0"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,1,"BC10","BC10","0"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
10,4,"BC10","BC10","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,1,"BC11","BC11","0"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
11,4,"BC11","BC11","3"
