rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
ABCB11	0.02	0.01	0.02	0.05
ABCB4	0.61	24	5.4	32.19
ABCB5	32.22	0.13	133.6	0.19
ABCB6	16.66	1.58	14.44	2.43
ABCB7	21.38	21.58	10.83	19.92
ABCB8	6.59	4.75	4.26	4.23
ABCB9	1.71	0.26	1.37	0.28
ABCC1	7.68	19.34	7.35	19.52
ABCC10	9.17	20.89	11.74	17.92
ABCC11	0.21	0.01	3.45	0
ABCC12	0	0.01	0.13	0.01
ABCC13	0	0	0	0
ABCC2	5.28	0.5	6.11	0.59
ABCC3	0.32	1.47	1.32	0.73
ABCC4	4.79	4.33	1.65	5.44
ABCC5	14.22	8.03	8.78	7.29
ABCC5-AS1	0	0.05	0.06	0.06
ABCC6	0	0.03	0	0.03
ABCC6P2	0.05	0	0.04	0
ABCC8	0	0	0.04	0
ABCC9	25.97	5.87	2.94	4.66
ABCD1	2.75	3.1	7.32	2.57
ABCD1P2	0.04	0	0	0
ABCD1P4	0	0	0	0
ABCD1P5	0	0	0	0
ABCD2	0.24	3.69	0.98	2.84
ABCD3	51.66	10.57	14.44	13.5
ABCD4	12.81	17.42	10.4	12.58
ABCE1	97.63	54.91	51.37	68.85
ABCF1	63.08	35.91	42.54	48.19
ABCF2	56.85	24.87	25.47	33.06
ABCF2P1	0	0	0	0
ABCF2P2	0	0	0	0
ABCF3	34.71	28.25	35.34	31.35
ABCG1	9.26	15.02	9.37	14.15
ABCG2	3.36	0.07	3.83	0.07
ABCG4	0.12	0.01	0	0.02
ABCG5	0.02	0.01	0.02	0.01
ABCG8	0.01	0	0	0
ABHD1	0.58	0.38	0.21	0.29
ABHD10	36.8	23.82	18.87	30.6
ABHD11	14.1	4.49	5.24	4.16
ABHD11-AS1	0.24	0.08	0.33	0.3
ABHD12	40.94	11.07	26.02	9.91
ABHD12B	8.59	0	0.04	0.13
ABHD13	14.45	11.14	3.88	12.12
ABHD14A	9.71	13.82	9.42	10.64
ABHD14A-ACY1	20.5	5.89	14.25	4.79
ABHD14B	22.84	44.08	45.21	42.84
ABHD15	2.97	14.65	4.69	12.35
ABHD16A	12.81	18.08	18.86	19.1
ABHD16B	0.02	0.04	0.05	0.05
ABHD17A	2.75	6.01	3.31	7.01
ABHD17AP1	0	0	0	0
ABHD17AP3	0	0	0	0
ABHD17AP4	0.03	0	0	0.12
ABHD17AP6	0	0.05	0.03	0.03
ABHD17B	5.74	15.39	8.1	15.59
ABHD17C	2.76	1.63	3.29	1.6
ABHD18	3.84	6	3.61	8.02
ABHD2	26.74	14.49	17.24	19.75
ABHD3	11.34	9.63	6.32	13.81
ABHD4	23.86	8.37	16.97	7.97
ABHD5	12.7	4.43	12.24	5.59
ABHD6	10.13	10.8	26.33	12.83
ABHD8	0.37	0.79	0.61	0.77
ABI1	45.06	74.62	49.03	71.89
ABI2	63.63	13.8	50.2	15.4
ABI3	0.26	16.73	5.72	18.44
ABI3BP	0.3	0.18	2.15	0.82
ABL1	18.13	21.8	12.51	22.6
ABL2	11.79	5.36	9.73	4.51
ABLIM1	4.77	84.88	19.8	80.84
ABLIM2	0.94	0.38	0.38	0.35
ABLIM3	27.44	0.41	6.76	0.23
ABO	0	0.05	0	0.11
ABR	52.53	17.22	15.89	17.11
ABRA	0	0.02	0	0.03
ABRACL	8.41	72.3	26.51	91.02
ABRAXAS1	9.75	17.08	6.88	16.45
ABRAXAS2	9.78	18.44	9.81	20.33
ABT1	7.83	11.26	9.04	13.25
ABT1P1	0	0	0	0
ABTB1	2.64	16.64	8.15	16.19
ABTB2	9.54	0.47	2.6	0.52
ACAA1	40.11	31.98	33.76	26.54
ACAA2	43.68	21.61	23.97	24.41
ACACB	3.57	1.81	1.51	1.61
ACAD10	38.71	12.61	6.82	12.65
ACAD11	6.95	4.44	5.88	4.28
ACAD8	11.05	7.53	5.63	7.45
ACAD9	35.89	16.04	24.43	21.98
ACADL	0.01	0	0	0
ACADM	83.06	82.9	50.54	96.01
ACADS	3.02	1.3	1.35	1.1
ACADSB	16.84	16.01	9.63	13.03
ACADVL	59.75	32.18	31.09	28.75
ACAN	0.21	0.02	0	0.02
ACAP1	0.69	40.85	11	44.15
ACAP2	44.6	58.01	31.01	71.89
ACAP2-IT1	0.11	0.69	0.61	0.99
ACAP3	8.53	1.55	4.09	3.16
ACAT1	114.3	20.63	49.78	27.95
ACAT2	25.67	11.58	6.87	14.39
ACBD3	48.65	23.54	33.59	30.15
ACBD3-AS1	0.26	0.42	0.06	0.87
ACBD4	3.24	4.24	3.24	3.72
ACBD5	16.13	14.16	14.11	14.69
ACBD6	0.49	2.48	0.45	1.29
ACBD7	1.05	0.68	0.94	0.74
ACCS	2.05	6.63	3.42	3.03
ACCSL	0.04	0.01	1.35	0.03
ACD	3.38	4.94	4.25	5.72
ACE	0.07	2.51	2.25	0.51
ACE2	0.19	0	0.09	0.1
ACE3P	0	0	0	0
ACER1	0	0.64	0.06	0.14
ACER2	1.15	0.62	0.32	0.96
ACER3	23.38	8.02	23.12	7.27
ACHE	0.18	0.13	0.02	0.36
ACIN1	48.78	47.84	33.96	46.02
ACKR1	0.06	0.11	0.12	0.09
ACKR2	0.87	0.13	0.29	0.47
ACKR3	0.55	4.38	1.37	3.51
ACKR4	1.58	0.54	0.78	1.36
ACLY	67.35	39.99	30.18	48.02
ACMSD	0.02	0.02	0	0.06
ACO1	9.57	3.76	4.61	3.92
ACO2	120.8	55.45	37.92	56.94
ACOD1	0	0.01	0.39	0
ACOT1	0.15	0.65	0.27	1.26
ACOT11	2.17	0.79	2.2	1.09
ACOT12	0	0.02	0.15	0.04
ACOT13	43.43	16.87	28.76	22.36
ACOT2	11.88	6.05	7.92	4.89
ACOT4	0.1	1	0.84	1.63
ACOT6	0.27	0	0.14	0.02
ACOT7	36.14	3.94	29.05	6.88
ACOT8	11.39	8.05	5.91	11.18
ACOT9	21.76	20.14	28.7	18.73
ACOX1	6.84	3.44	4.14	4.13
ACOX2	22.8	0	15.37	0.37
ACOX3	9.25	8.94	6.78	7.03
ACOXL	0	0.16	0.16	0.12
ACOXL-AS1	0.1	0	0	0
ACP1	50.76	93.53	63	98.21
ACP2	15.14	12.36	19.86	6.01
ACP4	0.05	0	0	0
ACP5	77.27	61.66	52.15	60.1
ACP6	5.84	2.83	4.69	3.95
ACP7	0	0	0	0.01
ACPP	1.32	1.99	2.1	1.54
ACR	0.2	0	0.06	0
ACRBP	0.66	3.01	1.72	2.04
ACRV1	0.17	0.06	0	0.03
ACSBG1	2.83	0.13	0.19	0.13
ACSBG2	0	0	0.02	0
ACSF2	10.52	14.45	13.89	17.03
ACSF3	5.73	12.77	4.74	11.97
ACSL1	22.24	15.6	21.9	13.3
ACSL3	203.07	20.92	183.26	21.89
ACSL4	18.06	22.54	17.49	27.93
ACSL5	7.87	41.05	16.14	50.58
ACSL6	1.47	7.48	1.65	6.6
ACSM1	0	0.12	0.03	0.23
ACSM2A	0	0	0	0.01
ACSM2B	0	0	0	0
ACSM3	0.58	2.38	1.54	1.65
ACSM4	0	0.04	0	0.18
ACSM5	2.98	0.25	0.17	0.22
ACSM6	0	0.05	0	0
ACSS1	21.79	19.3	6.96	22.38
ACSS2	55.62	8.14	20.74	8.11
ACSS3	1.98	0.01	2.16	0.25
ACTA1	0.04	0.02	0.04	0
ACTA2	114.71	8.27	15.93	9.84
ACTA2-AS1	0.25	0.34	0.12	0.29
ACTB	3917.32	3920.15	2454.61	4700.93
ACTBL2	0	0	0.02	0
ACTBP1	0	0.02	0	0
ACTBP11	0.16	0.12	0.06	0.15
ACTBP12	0	0	0	0
ACTBP13	0.07	0.17	0.13	0.18
ACTBP14	0	0	0	0.02
ACTBP2	0.04	0.09	0	0.24
ACTBP6	0	0	0	0
ACTBP7	0	0	0.04	0
ACTBP8	0.02	0.08	0.04	0.16
ACTC1	0.03	0	0.01	0.01
ACTG1	1348.93	837.85	881.79	1214.12
ACTG1P1	0.45	0.24	0.1	0.02
ACTG1P10	0.23	0.29	0.2	0.37
ACTG1P11	0.02	0	0	0.07
ACTG1P12	0	0	0	0
ACTG1P13	0	0	0	0
ACTG1P14	0.02	0.14	0.02	0.21
ACTG1P18	0.02	0.04	0	0
ACTG1P19	0	0.02	0	0.09
ACTG1P2	0.02	0	0	0.07
ACTG1P20	0.42	0.73	0.17	0.86
ACTG1P21	0.02	0	0	0
ACTG1P23	0.02	0	0	0.05
ACTG1P24	0.06	0.15	0	0
ACTG1P3	0.15	0.59	0.25	0.67
ACTG1P4	0	0	0	0.04
ACTG1P9	0.03	0.05	0.02	0.04
ACTG2	1.05	0.74	2.07	0.1
ACTL10	0.09	0.1	0.1	0.13
ACTL6A	63.58	25.95	38.93	40.98
ACTL6B	0	0	0	0
ACTL7A	0.03	0.08	0	0
ACTL7B	0	0	0	0
ACTL8	0.05	0.02	0.03	0.03
ACTL9	0	0	0	0
ACTN1	64.69	15.83	55.41	9.13
ACTN2	0.03	0.27	0.46	0.06
ACTN3	0	0.23	0.07	0.01
ACTN4	120.63	78.86	116.25	131.07
ACTN4P1	0	0	0.02	0
ACTN4P2	0	0.02	0	0
ACTP1	0	0	0	0
ACTR10	34.32	17.37	18.33	18.43
ACTR1A	31	34.34	46.33	42.03
ACTR1B	9.86	17.81	10.75	16.56
ACTR2	135.86	309.16	117.24	339.7
ACTR3	115.3	328.13	126.14	437.26
ACTR3B	10.5	3.48	3.48	4.92
ACTR3BP2	0	0.05	0	0
ACTR3BP4	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3BP6	0	0	0	0
ACTR3C	0.13	1.03	0.55	1.41
ACTR3P2	0	0	0	0.08
ACTR3P3	0	0	0	0
ACTR5	4.35	4.3	2.9	3.58
ACTR6	20.47	13.07	8.76	15.57
ACTR6P1	0.02	0	0	0
ACTR8	20.89	16.24	14.88	19.48
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACTRT3	0.48	0.09	0.38	0.17
ACVR1	14.58	5.84	22.06	5.95
ACVR1B	9.38	4.32	5.14	4.02
ACVR1C	0.05	0.9	0.44	0.28
ACVR2A	11.56	5.23	3.39	2.98
ACVR2B	0.72	0.42	1.18	0.25
ACVR2B-AS1	0.5	0.04	5.59	0
ACVRL1	3.17	0.19	0.3	0.11
ACY1	4.54	1.21	5.25	1.06
ACY3	0.07	3.5	0.39	6.42
ACYP1	5.88	6.26	17.27	7.22
ACYP2	4.43	10.03	3.83	11.17
ADA	4.66	10.25	5.29	17.01
ADA2	5.86	73.23	36.12	44.03
ADAD1	0	0	0	0
ADAD2	0	0	0.01	0.05
ADAL	10.68	4.32	5.59	4.62
ADAM10	68.73	33.39	44.41	41.39
ADAM11	0.17	0.02	0.15	0.01
ADAM12	8.98	0.63	1.23	0.89
ADAM15	28.35	6.84	37	5.49
ADAM17	11.96	13.73	7.22	14.06
ADAM18	0	0	0	0
ADAM19	1.01	38.12	5.46	42.68
ADAM1A	0.64	0.87	0.37	0.92
ADAM1B	0.59	0.37	0.02	0.08
ADAM2	0	0	0	0
ADAM20	0.05	0.03	0.05	0.03
ADAM20P2	0	0	0	0
ADAM20P3	0	0	0	0
ADAM21	0.11	0.02	0.06	0.1
ADAM21P1	0.05	0.1	0.03	0
ADAM22	4.61	0.91	0.89	0.68
ADAM23	71.18	1.16	0.22	2.9
ADAM24P	0	0	0	0
ADAM28	2.39	45.28	10.35	72.73
ADAM29	0	2.6	0.12	0.16
ADAM30	0.01	0.01	0	0.01
ADAM32	1.18	1.07	0.76	1.03
ADAM33	0.02	0.04	0.01	0.02
ADAM3A	0	0	0.02	0
ADAM5	0	0	0	0
ADAM7	0.05	0	0	0.03
ADAM8	0.36	6.61	2.69	5.85
ADAM9	131.87	6.97	14.62	6
ADAMDEC1	0.36	7.89	12.2	2.16
ADAMTS1	65.68	0.33	16.98	1.08
ADAMTS10	0.08	0.21	0.1	0.17
ADAMTS12	0.03	0	0.05	0
ADAMTS13	0.14	0.32	0.08	0.12
ADAMTS14	0.19	0.01	0.71	0.02
ADAMTS15	0.1	0.02	0	0
ADAMTS16	0.59	0.01	0	0.01
ADAMTS17	0.99	0.52	0.35	0.19
ADAMTS18	0	0	0	0
ADAMTS19	0	0	0	0.01
ADAMTS19-AS1	0	0	0	0
ADAMTS2	0.01	0.44	0.41	0
ADAMTS20	0.01	0.02	0.04	0.03
ADAMTS3	2.61	0.03	0.23	0.16
ADAMTS4	3.49	0.35	0.14	1.72
ADAMTS5	0.2	0	0	0.01
ADAMTS6	0.04	4.48	0.46	1.19
ADAMTS7	0.49	0.14	0.08	0.07
ADAMTS7P4	0	0	0	0
ADAMTS8	0	0	0	0.02
ADAMTS9	0.1	0.01	0.02	0.18
ADAMTS9-AS1	0	0.16	0	0
ADAMTS9-AS2	0.15	0	0.01	0.01
ADAMTSL1	0.33	0.02	0	0.01
ADAMTSL2	0.07	0.14	0.1	0.17
ADAMTSL3	0.06	0.01	0.18	0.04
ADAMTSL4	0.53	1.32	2.45	0.19
ADAMTSL4-AS1	0.4	0.37	0.8	0.22
ADAMTSL5	0.73	0.46	0.54	0.46
ADAP1	0.91	3	2.06	3.22
ADAP2	0.81	7.97	8.81	2.79
ADAR	64.88	78.97	62.84	92.35
ADARB1	13.73	13.21	6.8	14.57
ADARB2	0.15	0.41	0.18	1.03
ADARB2-AS1	0	0	0	0
ADAT1	13.58	8.64	7.51	8.75
ADAT2	2.59	2.88	2.24	4.25
ADAT3	0	0.01	0.01	0
ADCK1	5.2	2.28	2.2	2.11
ADCK2	16.47	19.96	13.27	24.79
ADCK5	1.13	0.78	1.62	1.49
ADCY1	0.15	0.04	5.48	0.07
ADCY10	0.01	0.14	0.01	0.06
ADCY10P1	0.06	0.4	0.3	0.36
ADCY2	0.09	0.15	1.53	0.12
ADCY3	5.51	19.39	15.56	17.63
ADCY4	0.01	0.15	0.1	0.11
ADCY5	0.04	0.18	0.04	0
ADCY6	5.67	0.04	6.64	0.15
ADCY7	1.75	23.78	7.2	25.4
ADCY8	0.01	0.02	0	0.02
ADCY9	3.07	0.55	1.23	0.63
ADCYAP1	0	0.03	0	0
ADCYAP1R1	0.03	0	0	0.01
ADD1	111.65	100.94	65.95	111.3
ADD2	0.23	3.34	0.63	3.92
ADD3	75.57	129.23	71.99	136.85
ADD3-AS1	1.25	0.2	0.27	0.24
ADGB	0	0	0	0.02
ADGRA1	0	0	0	0
ADGRA2	29.47	0.01	0.55	0.07
ADGRA3	21.09	1.19	11.77	1.24
ADGRB1	3.43	0.25	0.19	0.32
ADGRB2	3.43	0.27	0.43	0.7
ADGRB3	1.74	0	0.01	0.02
ADGRD1	0.25	0.12	0.02	0.22
ADGRD2	0	0	0	0
ADGRE1	0.11	2.78	1.17	1.05
ADGRE2	0.79	4.23	4.1	1.74
ADGRE3	0.09	0.62	0	0.78
ADGRE5	13.12	41.72	34.17	46.42
ADGRF1	0.13	0.08	0.03	0.19
ADGRF2	0.04	0.06	0	0.06
ADGRF3	0.04	0.34	0.31	0.48
ADGRF4	0	0	0.13	0
ADGRF5	0.18	0	0.11	0.01
ADGRF5P1	0	0.07	0	0
ADGRF5P2	0	0	0	0
ADGRG1	216.21	1.73	85.89	2.61
ADGRG2	0.54	0.09	0.16	0.49
ADGRG3	0.54	0.38	0.14	0.62
ADGRG4	0	0	0	0
ADGRG5	0.2	13.75	1.91	16.63
ADGRG6	25.69	0.38	1.4	0.42
ADGRG7	0	0.03	0	0.04
ADGRL1	2.12	0.67	1.02	0.54
ADGRL2	0.19	0.01	0.01	0.67
ADGRL3	0.07	0	0	0
ADGRL3-AS1	0	0	0	0
ADGRL4	0.44	0.03	0.05	0.01
ADGRV1	1.78	3.18	1.8	3.17
ADH1A	0	0	0.14	0
ADH1B	0.01	0	0	0
ADH1C	0.05	0.02	0.04	0
ADH4	0.16	0	0.02	0
ADH5	108.54	50.37	80.1	63.9
ADH5P2	0	0	0	0
ADH5P3	0.02	0	0	0
ADH5P4	0	0	0	0
ADH6	0.28	0.17	0.31	0.42
ADH7	0	0.01	0	0.01
ADHFE1	11.32	1.68	9.01	1.63
ADI1	39.13	39.56	51.96	35.74
ADI1P1	0	0	0	0
ADI1P2	0	0	0	0.07
ADIG	0	0	0	0
ADIPOQ	0.01	0	0	0.02
ADIPOQ-AS1	0	0.01	0	0
ADIPOR1	130.85	69.51	113.19	70.16
ADIPOR1P1	0	0	0	0
ADIPOR2	57.34	13.91	32.7	17.05
ADIRF	2.21	0.22	0.65	0.13
ADK	14.58	28	17.29	36.21
ADM	70.56	1.01	71.6	0.72
ADM2	0.28	0.36	0.19	0.42
ADM5	0	0.11	0.06	0
ADNP	48.84	31.69	23.52	41.5
ADNP2	6.89	6.88	5.41	5.7
ADO	5.05	6.33	4.19	8.02
ADORA1	0.06	0.08	0.44	0.08
ADORA2A	3.2	8.67	0.79	10.31
ADORA2A-AS1	0.1	0.23	0.03	0.21
ADORA2B	1.54	0.34	0.94	0.44
ADORA2BP1	0	0.13	0.03	0
ADPGK	25.19	65.62	35.5	55.77
ADPRH	12.99	12.5	5.54	10.72
ADPRHL1	0.08	0.15	0.16	0.13
ADPRHL2	17.19	9.89	13.33	11.71
ADPRM	7.37	24.87	6.3	22.77
ADRA1A	0.18	0.2	0.12	0.27
ADRA1B	0.34	0	0.04	0.01
ADRA1D	0.03	0	0.02	0
ADRA2A	0.41	0	0.06	0.02
ADRA2C	0.36	0.02	0.25	0.02
ADRB1	0	0.01	0.01	0
ADRB2	0.6	8.92	4.29	3.87
ADRB3	0.01	0.01	0	0.03
ADRM1	25.37	29.63	25.97	39.63
ADSL	97.52	36.03	29.48	41
ADSS	40.63	38.55	36.19	43.78
ADSSL1	21.84	0.44	1.7	0.57
ADTRP	0.33	12.9	1.61	3.86
AEBP1	589.74	8.28	75.57	7.71
AEBP2	12.47	10.59	9.35	13.51
AEN	10.07	6.14	9	7.79
AES	58.78	165.02	67.88	157.29
AFAP1	22.8	1.5	1.63	1.66
AFAP1L1	16.81	0.09	3.14	0.05
AFAP1L2	6.47	1.59	2.51	2.45
AFDN	12.13	10.91	6.81	8.82
AFDN-DT	0.22	0.03	0.04	0.09
AFF1	27.86	23.88	19.69	31.16
AFF2	4.3	2.53	0.56	7.5
AFF2-IT1	0	0	0	0
AFF3	14.28	44.4	11.66	53.82
AFF4	60.06	26.93	26.3	28.76
AFG1L	6.92	3.46	3.33	4.05
AFG3L1P	5.73	12.99	8.3	12.55
AFG3L2	56.66	18.83	39.75	21.11
AFG3L2P1	0	0.01	0	0
AFM	0	0	0	0
AFMID	49.2	11.05	14.23	11.72
AFP	0.02	0	0	0.05
AFTPH	24.56	74.98	25.69	79.42
AGA	32.44	28.25	30.56	32.41
AGAP1	6.28	0.34	2.59	0.64
AGAP1-IT1	0	0	0	0
AGAP10P	0.01	0	0	0.13
AGAP13P	0	0	0	0
AGAP2	0.32	10.09	2.65	10.43
AGAP3	22.89	6.01	23.9	6.03
AGAP4	1.81	5.57	1.46	2.58
AGAP5	0.38	1.17	0.38	1.28
AGAP6	0.96	2.77	1.87	2.44
AGAP9	0.77	2.3	0.74	1.61
AGBL2	0.72	2.8	1.38	1.41
AGBL3	1.83	0.47	0.9	0.77
AGBL4	0.06	0.19	0.03	0.29
AGBL4-IT1	0	0	0	0
AGBL5	11.81	8.21	15.57	7.77
AGBL5-AS1	0	0	0	0
AGBL5-IT1	0.19	0.08	0.18	0.09
AGER	0.91	4.23	1.91	5.04
AGFG1	50.48	36.65	27.68	48.08
AGFG2	7.48	8.03	6.39	12.1
AGGF1	29.97	21.45	11.77	23.85
AGGF1P1	0.38	0.34	0.49	0.08
AGGF1P2	0.31	0.34	0.74	0.17
AGGF1P3	0.05	0	0	0
AGK	55.47	18.75	20.96	20.61
AGKP1	0.02	0	0.04	0
AGL	11.36	8.18	2.84	10.72
AGMAT	0.56	6.78	1.27	6.52
AGMO	37.18	0	0.01	0.82
AGO1	8.37	9.77	5.77	9.87
AGO2	7.16	11.96	7.92	7.06
AGO3	10.37	5.87	5.3	8.83
AGO4	5.59	8.76	5.53	9.14
AGPAT1	48.96	18.98	59.22	21.85
AGPAT2	5.86	3.93	7.16	4.68
AGPAT3	30.75	17.09	18.4	14.85
AGPAT4	0.32	1.74	0.92	0.9
AGPAT5	62.72	18.77	11.24	23.9
AGPAT5P1	0	0	0	0
AGPS	24.4	7.3	14.41	11.49
AGR2	0	0.11	0.03	0
AGR3	0	0	0	0
AGRN	20.02	0.53	6.9	0.57
AGRP	0	0	0.12	0
AGT	0.53	0	4.86	0.07
AGTPBP1	3.27	12.41	5.24	14.81
AGTR1	0	0	0	0
AGTR2	0	0	0	0
AGTRAP	17.28	10.07	17.28	8.49
AGXT	0.07	0.07	0.05	0.01
AGXT2	0	0	0	0
AHCTF1	21.68	22.71	14.73	25.41
AHCY	86.32	32.33	62.91	35.86
AHCYL1	34.06	25.33	36.44	30.33
AHCYL2	100.62	9.09	34.73	7.16
AHCYP2	0	0	0	0.04
AHCYP3	0.36	0	0	0
AHCYP4	0	0	0	0
AHCYP5	0	0	0	0
AHCYP8	2.84	0	0.49	0.15
AHDC1	2.08	0.81	1.04	1.28
AHI1	9.27	6.09	4.26	6.04
AHNAK	19.59	46.78	47.63	49.9
AHNAK2	0.91	0.72	2.78	0.55
AHR	168.72	15.08	26.69	21.89
AHRR	0.37	0.15	0.25	0.12
AHSA1	111.71	58.48	87.92	92.23
AHSA2P	6.43	14.96	7.92	15.05
AHSG	0	0	0.04	0
AHSP	0	0.23	0	0.69
AICDA	0.03	3.67	0.25	13.04
AIDA	46.86	61.06	43.71	67.37
AIF1	13.21	119.91	110.77	44.89
AIF1L	106.21	0.14	17.3	0.39
AIFM1	39.86	30.39	28.92	29.59
AIFM1P1	0	0	0	0
AIFM2	3.45	2.26	5.19	2.15
AIFM3	0.1	0.5	0.42	0.28
AIG1	36.68	16.14	11.26	18.61
AIG1P1	0	0.4	0	0
AIM2	0.95	47.53	13.03	52.86
AIMP1	55.65	43.39	41.33	48.23
AIMP1P1	0.03	0	0	0
AIMP1P2	0	0	0	0
AIMP2	12.31	5.16	6.85	4.96
AIP	23.61	45.79	19.38	49.31
AIPL1	0.15	0.32	0.14	0.18
AIRE	0.02	0.03	0.01	0.15
AJAP1	0.01	0.32	0.07	0.35
AJM1	0.02	0	0.05	0.03
AJUBA	1.8	0.17	1.78	0.13
AK1	19.62	2.73	9.25	2.16
AK2	213.73	102.09	183.11	111.92
AK2P2	0	0	0.07	0
AK3	38.8	22.93	12.71	22.17
AK3P2	0	0	0.06	0
AK3P3	0.99	0.44	0.45	0.44
AK3P4	0	0	0	0
AK3P5	0.05	0	0	0
AK4	30.27	0.56	16.99	0.72
AK4P2	0	0	0	0
AK4P3	1.07	0.04	0	0.42
AK4P4	0	0.39	0	0.12
AK4P5	0	0	0	0
AK4P6	0	0	0	0
AK5	0.33	14.45	1.31	6.37
AK6	87.35	66.28	73.49	86.21
AK7	0.27	0.02	0.19	0.06
AK8	1.1	0.84	0.12	0.35
AK9	5.26	3.85	2.8	6.56
AKAIN1	0	0	0.6	0
AKAP1	12.03	8.15	9.39	9.98
AKAP10	12.25	17.35	6.41	18.53
AKAP11	4.95	18.13	5.86	19.68
AKAP12	624.89	0.55	8.63	1.96
AKAP13	15.57	50.55	22.82	57.64
AKAP14	0.04	0	0	0
AKAP17A	9.22	16.05	8.76	15.84
AKAP17BP	0	0	0.03	0
AKAP2	14.04	96.96	18.08	95.74
AKAP3	2.41	0.54	0.47	0.73
AKAP4	0	0	0.02	0
AKAP5	0.69	5.35	6.98	7.03
AKAP6	84.89	0.97	12.72	1.52
AKAP7	13.22	16.97	5.54	14.97
AKAP8	12.1	11.35	7.63	12.1
AKAP8L	35.52	34.52	25.81	27.49
AKAP8P1	0	0	0	0
AKAP9	39.49	26.03	17.56	27.36
AKIP1	14.11	5.78	11.04	6.69
AKIRIN1	67.54	63.4	51.7	62.44
AKIRIN1P2	0	0	0	0
AKIRIN2	19.14	37.54	23.29	31.33
AKIRIN2P1	0	0	0	0
AKNA	2.06	76.96	16.42	88.19
AKNAD1	0.14	0	0.11	0
AKR1A1	39.93	87.77	75.44	78.32
AKR1B1	54.42	63.28	60.49	62.68
AKR1B10	0.07	0	0.01	0.16
AKR1B10P1	0	0	0	0
AKR1B15	0.97	1.1	1	0.92
AKR1B1P1	0.03	0	0.02	0
AKR1B1P2	0	0	0	0
AKR1B1P3	0.05	0	0	0
AKR1B1P4	0	0	0	0
AKR1B1P6	0	0	0	0
AKR1B1P8	0	0.05	0	0
AKR1C1	0.45	0.65	0.17	0.12
AKR1C2	0.04	0.26	0.01	0.07
AKR1C3	0.09	0.84	0.11	1.37
AKR1C4	0	0	0	0
AKR1C5P	0	0	0	0
AKR1C6P	0.02	0.15	0	0
AKR1C7P	0	0.02	0.07	0.24
AKR1D1	0.04	0.02	0.02	0.07
AKR1D1P1	0	0.16	0	0
AKR1E2	1.6	0.39	1.74	0.23
AKR7A2	57.83	15.76	26.54	17.74
AKR7A2P1	0.03	0.05	0	0
AKR7A3	0.39	0.08	0.11	0.03
AKR7L	0.41	0.1	0.04	0.15
AKT1	41.9	30.41	31.43	28.69
AKT1S1	15.1	5.61	12.86	5.17
AKT2	81.5	90.14	52.34	73.54
AKT3	64.03	13.69	25.74	14.23
AKT3-IT1	0	0	0.1	0
AKTIP	14.46	20.31	15.4	17.65
ALAD	17.96	14.31	9.64	14.64
ALAS1	21.27	12.45	25.6	17.69
ALAS2	0.15	0.35	0	0.12
ALB	0.05	0.01	0	0.03
ALCAM	21.1	25.77	14.89	27.88
