,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000226802,0,0,0,0
ENSG00000226803,10,2,7,5
ENSG00000226804,0,0,0,0
ENSG00000226806,0,0,0,2
ENSG00000226807,1,2,0,0
ENSG00000226808,1,0,5,3
ENSG00000226810,0,0,0,0
ENSG00000226812,0,23,26,3
ENSG00000226813,0,0,0,0
ENSG00000226814,0,0,0,0
ENSG00000226816,1,2,1,3
ENSG00000226818,0,0,0,0
ENSG00000226819,0,0,0,2
ENSG00000226820,0,0,0,0
ENSG00000226822,0,0,2,1
ENSG00000226823,2,3,10,2
ENSG00000226824,16,4,22,42
ENSG00000226825,0,0,0,0
ENSG00000226827,0,0,0,0
ENSG00000226828,1,0,1,3
ENSG00000226829,0,0,0,0
ENSG00000226831,0,0,0,0
ENSG00000226833,9,7,4,9
ENSG00000226835,0,0,2,0
ENSG00000226836,0,0,0,0
ENSG00000226837,0,0,0,0
ENSG00000226838,0,0,0,0
ENSG00000226839,0,0,0,0
ENSG00000226840,0,0,0,0
ENSG00000226842,0,0,0,0
ENSG00000226843,0,0,0,0
ENSG00000226845,0,0,0,0
ENSG00000226846,19,1,0,17
ENSG00000226847,0,0,0,0
ENSG00000226849,4,2,0,0
ENSG00000226851,2,3,2,3
ENSG00000226853,35,21,89,73
ENSG00000226854,0,0,0,0
ENSG00000226855,1,1,0,1
ENSG00000226856,3,3,24,7
ENSG00000226857,0,0,0,0
ENSG00000226859,0,0,0,0
ENSG00000226860,0,0,0,0
ENSG00000226861,0,0,0,0
ENSG00000226862,0,0,5,0
ENSG00000226863,0,0,0,0
ENSG00000226864,4,5,3,7
ENSG00000226867,0,0,0,0
ENSG00000226868,0,0,0,0
ENSG00000226869,0,0,0,0
ENSG00000226870,0,0,0,0
ENSG00000226871,0,1,0,0
ENSG00000226872,0,0,0,0
ENSG00000226873,0,0,0,0
ENSG00000226874,1,1,1,1
ENSG00000226875,0,0,0,0
ENSG00000226876,0,0,0,0
ENSG00000226877,0,0,0,0
ENSG00000226878,0,0,0,0
ENSG00000226881,1,2,0,1
ENSG00000226883,2,1,0,1
ENSG00000226884,0,0,0,0
ENSG00000226885,0,0,0,0
ENSG00000226886,0,0,0,0
ENSG00000226887,2,1,0,7
ENSG00000226888,0,0,0,0
ENSG00000226889,2,0,9,7
ENSG00000226890,0,0,0,0
ENSG00000226891,7,5,3,5
ENSG00000226899,0,0,0,0
ENSG00000226900,1,0,1,2
ENSG00000226902,0,0,0,0
ENSG00000226903,0,0,0,0
ENSG00000226904,0,0,0,0
ENSG00000226905,0,0,0,0
ENSG00000226906,0,0,0,0
ENSG00000226908,0,0,0,0
ENSG00000226912,0,0,0,0
ENSG00000226913,0,1,1,1
ENSG00000226915,1,0,1,0
ENSG00000226917,0,0,0,0
ENSG00000226918,0,0,0,0
ENSG00000226919,0,0,0,0
ENSG00000226920,0,0,0,0
ENSG00000226921,0,0,0,0
ENSG00000226925,0,0,1,0
ENSG00000226926,1,2,0,0
ENSG00000226927,0,0,0,0
ENSG00000226928,0,0,0,0
ENSG00000226929,0,0,0,0
ENSG00000226930,0,0,0,0
ENSG00000226933,1,0,0,0
ENSG00000226935,0,1,0,0
ENSG00000226937,2,2,0,5
ENSG00000226938,0,0,0,0
ENSG00000226939,0,0,0,0
ENSG00000226941,0,0,0,0
ENSG00000226942,2,2,0,0
ENSG00000226943,0,0,0,0
ENSG00000226944,1,3,14,10
ENSG00000226945,1,0,2,4
ENSG00000226946,0,0,0,0
ENSG00000226947,0,0,0,0
ENSG00000226948,0,0,2,1
ENSG00000226949,0,0,0,0
ENSG00000226950,125,209,2415,983
ENSG00000226952,1,0,0,0
ENSG00000226953,1,0,2,2
ENSG00000226954,0,0,0,0
ENSG00000226955,0,0,0,0
ENSG00000226956,0,0,0,0
ENSG00000226957,0,0,0,0
ENSG00000226960,0,0,0,0
ENSG00000226961,0,0,0,1
ENSG00000226962,0,0,0,0
ENSG00000226963,0,0,0,0
ENSG00000226964,17,15,0,44
ENSG00000226965,0,0,11,0
ENSG00000226967,0,0,0,0
ENSG00000226968,0,0,0,0
ENSG00000226969,1,2,3,2
ENSG00000226970,3,0,1,1
ENSG00000226971,0,0,0,0
ENSG00000226972,3,0,1,0
ENSG00000226973,0,0,0,0
ENSG00000226975,0,0,0,0
ENSG00000226976,4,23,45,50
ENSG00000226977,0,0,0,0
ENSG00000226978,0,0,0,0
ENSG00000226979,4,7,14,8
ENSG00000226981,0,0,0,1
ENSG00000226982,0,0,1,1
ENSG00000226983,0,0,0,0
ENSG00000226984,0,0,0,1
ENSG00000226985,0,0,0,0
ENSG00000226986,5,3,0,7
ENSG00000226987,0,0,1,0
ENSG00000226989,0,0,0,0
ENSG00000226990,0,0,0,0
ENSG00000226991,0,0,0,0
ENSG00000226992,0,0,0,0
ENSG00000226994,0,0,0,0
ENSG00000226995,0,0,0,0
ENSG00000226996,0,0,0,0
ENSG00000226998,0,0,0,0
ENSG00000226999,0,0,0,0
ENSG00000227000,0,0,0,0
ENSG00000227001,0,2,0,2
ENSG00000227002,0,0,0,0
ENSG00000227004,0,0,0,0
ENSG00000227006,1,2,0,0
ENSG00000227007,0,0,0,0
ENSG00000227008,1,2,14,4
ENSG00000227009,0,0,0,0
ENSG00000227011,0,0,0,0
ENSG00000227012,0,0,0,0
ENSG00000227013,0,0,0,0
ENSG00000227014,0,1,1,3
ENSG00000227015,0,0,0,0
ENSG00000227016,0,0,0,0
ENSG00000227017,0,0,2,0
ENSG00000227018,1,0,0,0
ENSG00000227019,0,0,0,0
ENSG00000227021,0,0,0,0
ENSG00000227023,0,0,0,0
ENSG00000227028,0,0,2,0
ENSG00000227029,0,0,0,0
ENSG00000227032,0,3,0,1
ENSG00000227033,0,0,0,0
ENSG00000227034,1,1,0,0
ENSG00000227035,0,0,0,0
ENSG00000227036,1,91,1,7
ENSG00000227038,36,18,5,13
ENSG00000227039,9,24,41,20
ENSG00000227040,0,0,0,1
ENSG00000227042,0,0,0,0
ENSG00000227043,0,0,0,0
ENSG00000227045,0,2,0,0
ENSG00000227047,0,0,0,0
ENSG00000227048,0,0,0,0
ENSG00000227050,2,0,1,3
ENSG00000227051,100,71,225,317
ENSG00000227053,1,0,6,3
ENSG00000227054,0,0,0,0
ENSG00000227055,0,0,0,0
ENSG00000227056,0,0,0,0
ENSG00000227057,900,1071,1458,1100
ENSG00000227058,0,0,0,0
ENSG00000227059,0,0,0,0
ENSG00000227060,0,1,0,0
ENSG00000227061,0,0,0,0
ENSG00000227062,0,0,0,0
ENSG00000227063,106,167,813,895
ENSG00000227064,0,0,0,0
ENSG00000227066,19,108,74,6
ENSG00000227067,0,0,0,0
ENSG00000227068,0,0,0,0
ENSG00000227069,0,0,0,2
ENSG00000227070,4,13,12,22
ENSG00000227071,0,0,3,1
ENSG00000227072,0,0,0,0
ENSG00000227073,1,0,0,1
ENSG00000227075,4,2,0,4
ENSG00000227076,0,2,1,2
ENSG00000227077,7,8,45,27
ENSG00000227078,0,0,0,0
ENSG00000227080,0,0,0,0
ENSG00000227081,46,290,358,199
ENSG00000227082,15,1,0,14
ENSG00000227083,0,0,0,0
ENSG00000227087,0,0,0,1
ENSG00000227088,0,0,0,0
ENSG00000227089,0,0,0,0
ENSG00000227090,0,0,0,0
ENSG00000227091,0,0,0,0
ENSG00000227094,0,0,0,0
ENSG00000227096,0,0,0,0
ENSG00000227097,14,759,5783,74
ENSG00000227098,3,0,0,0
ENSG00000227101,0,0,0,0
ENSG00000227102,0,0,0,0
ENSG00000227104,0,0,0,0
ENSG00000227105,0,0,0,0
ENSG00000227107,0,0,1,0
ENSG00000227108,0,0,0,0
ENSG00000227109,0,0,0,0
ENSG00000227110,11,2,5,6
ENSG00000227113,4,0,0,1
ENSG00000227115,8,0,47,0
ENSG00000227117,299,30,370,169
ENSG00000227118,1,0,0,0
ENSG00000227120,0,0,0,0
ENSG00000227121,0,18,0,0
ENSG00000227123,1,0,0,0
ENSG00000227124,99,85,36,203
ENSG00000227125,0,0,0,0
ENSG00000227128,1,0,0,0
ENSG00000227131,0,0,0,0
ENSG00000227133,0,0,0,0
ENSG00000227134,0,0,0,0
ENSG00000227138,0,0,0,0
ENSG00000227139,0,0,3,0
ENSG00000227140,0,0,0,0
ENSG00000227141,0,1,0,1
ENSG00000227143,0,0,0,0
ENSG00000227145,0,0,0,0
ENSG00000227148,0,0,0,0
ENSG00000227149,0,0,0,0
ENSG00000227150,0,0,0,0
ENSG00000227151,0,0,0,0
ENSG00000227152,0,0,0,0
ENSG00000227154,0,0,0,0
ENSG00000227155,0,0,0,2
ENSG00000227157,0,0,0,0
ENSG00000227158,1,0,0,1
ENSG00000227159,0,0,0,0
ENSG00000227160,0,0,3,0
ENSG00000227161,0,1,0,0
ENSG00000227163,0,0,0,0
ENSG00000227165,2,0,4,5
ENSG00000227166,0,0,0,0
ENSG00000227167,0,0,0,0
ENSG00000227169,0,0,0,0
ENSG00000227170,0,0,0,0
ENSG00000227172,1,2,0,0
ENSG00000227173,0,0,0,0
ENSG00000227175,0,0,0,0
ENSG00000227176,0,2,0,0
ENSG00000227177,0,0,0,0
ENSG00000227179,0,0,0,1
ENSG00000227180,0,0,0,0
ENSG00000227181,0,0,0,0
ENSG00000227182,3,0,0,0
ENSG00000227183,8,1,0,39
ENSG00000227186,0,0,0,0
ENSG00000227187,0,0,0,0
ENSG00000227188,0,0,0,0
ENSG00000227189,0,1,0,0
ENSG00000227191,6,29,49,37
ENSG00000227192,4,15,6,22
ENSG00000227193,0,0,0,0
ENSG00000227195,0,0,0,0
ENSG00000227196,0,0,0,0
ENSG00000227197,0,0,0,0
ENSG00000227198,0,0,0,0
ENSG00000227199,16,8,26,7
ENSG00000227200,0,0,0,0
ENSG00000227201,6,3,0,3
ENSG00000227203,0,0,2,0
ENSG00000227204,0,0,0,0
ENSG00000227205,0,0,0,0
ENSG00000227206,0,0,0,0
ENSG00000227207,0,0,0,0
ENSG00000227209,0,0,0,0
ENSG00000227210,2,0,0,1
ENSG00000227211,0,0,0,0
ENSG00000227212,2,4,0,1
ENSG00000227213,0,0,0,0
ENSG00000227214,0,0,5,2
ENSG00000227215,0,0,0,0
ENSG00000227217,0,0,0,0
ENSG00000227218,31,6,6,10
ENSG00000227220,10,8,0,4
ENSG00000227224,0,0,0,0
ENSG00000227225,1,2,0,0
ENSG00000227227,0,0,0,0
ENSG00000227230,1,1,0,0
ENSG00000227232,8,18,12,10
ENSG00000227233,0,0,0,0
ENSG00000227234,0,0,0,0
ENSG00000227236,0,0,0,0
ENSG00000227237,0,0,1,0
ENSG00000227238,0,0,0,0
ENSG00000227240,17,41,0,6
ENSG00000227241,0,0,0,0
ENSG00000227242,129,21,101,743
ENSG00000227243,0,0,0,0
ENSG00000227244,0,0,0,0
ENSG00000227245,0,0,0,1
ENSG00000227247,0,0,0,0
ENSG00000227248,1,0,0,0
ENSG00000227249,0,0,0,0
ENSG00000227251,0,0,0,0
ENSG00000227252,16,6,15,9
ENSG00000227253,2,3,0,5
ENSG00000227254,0,0,0,0
ENSG00000227255,0,0,0,0
ENSG00000227256,0,4,1,0
ENSG00000227257,0,0,0,0
ENSG00000227258,23,12,34,176
ENSG00000227259,0,0,0,0
ENSG00000227260,1,2,6,0
ENSG00000227261,0,0,0,0
ENSG00000227262,16,9,3,10
ENSG00000227264,0,0,0,0
ENSG00000227265,0,0,0,0
ENSG00000227267,0,0,0,0
ENSG00000227268,55,15,16,62
ENSG00000227269,0,0,0,0
ENSG00000227270,0,0,0,0
ENSG00000227271,0,0,0,0
ENSG00000227274,0,0,0,0
ENSG00000227275,0,0,0,0
ENSG00000227278,0,1,0,0
ENSG00000227279,0,0,0,1
ENSG00000227282,0,0,0,0
ENSG00000227283,0,0,0,0
ENSG00000227284,0,0,0,0
ENSG00000227288,0,0,0,2
ENSG00000227289,0,0,0,0
ENSG00000227290,0,0,0,0
ENSG00000227291,0,0,0,0
ENSG00000227292,0,0,0,0
ENSG00000227293,0,0,0,0
ENSG00000227294,0,0,0,0
ENSG00000227295,5,8,0,11
ENSG00000227297,0,0,0,0
ENSG00000227298,0,0,0,0
ENSG00000227300,0,0,0,0
ENSG00000227301,0,0,0,0
ENSG00000227302,0,0,0,0
ENSG00000227303,0,0,0,0
ENSG00000227304,2,2,3,2
ENSG00000227305,0,0,0,0
ENSG00000227306,0,8,10,4
ENSG00000227307,0,0,0,0
ENSG00000227308,0,0,0,0
ENSG00000227309,0,0,0,1
ENSG00000227311,0,1,1,0
ENSG00000227312,0,0,0,0
ENSG00000227313,0,0,0,0
ENSG00000227321,0,0,0,0
ENSG00000227329,2,2,0,0
ENSG00000227330,0,0,0,0
ENSG00000227331,0,2,0,0
ENSG00000227335,0,0,0,0
ENSG00000227336,0,0,0,0
ENSG00000227337,0,0,5,1
ENSG00000227338,0,0,0,1
ENSG00000227339,0,0,0,0
ENSG00000227342,0,0,0,0
ENSG00000227343,0,0,0,0
ENSG00000227344,0,0,0,0
ENSG00000227345,286,245,250,373
ENSG00000227347,5,1,2,3
ENSG00000227348,0,0,0,0
ENSG00000227349,0,0,0,4
ENSG00000227350,0,0,0,0
ENSG00000227351,1,0,2,3
ENSG00000227352,0,0,0,0
ENSG00000227353,0,0,0,0
ENSG00000227354,17,29,34,37
ENSG00000227355,0,0,0,3
ENSG00000227356,0,0,0,0
ENSG00000227358,0,0,0,0
ENSG00000227359,5,3,1,18
ENSG00000227360,0,0,0,0
ENSG00000227361,0,0,0,0
ENSG00000227364,0,0,0,0
ENSG00000227365,0,0,0,0
ENSG00000227367,0,0,0,0
ENSG00000227368,0,0,0,0
ENSG00000227370,3,6,1,9
ENSG00000227371,0,0,0,0
ENSG00000227372,231,281,362,301
ENSG00000227373,3,2,34,7
ENSG00000227374,1,0,0,2
ENSG00000227375,1,0,8,2
ENSG00000227376,9,9,19,21
ENSG00000227379,1,0,1,0
ENSG00000227382,0,1,5,2
ENSG00000227383,0,0,0,0
ENSG00000227386,0,0,0,0
ENSG00000227388,1,0,3,0
ENSG00000227391,0,0,0,0
ENSG00000227392,49,25,15,4
ENSG00000227393,0,0,0,0
ENSG00000227394,0,0,0,0
ENSG00000227395,0,0,0,0
ENSG00000227397,0,0,0,0
ENSG00000227398,30,24,42,31
ENSG00000227399,0,0,0,1
ENSG00000227400,0,0,0,0
ENSG00000227401,0,0,0,0
ENSG00000227403,14,24,32,167
ENSG00000227404,1,0,0,0
ENSG00000227406,0,0,0,0
ENSG00000227407,0,1,0,1
ENSG00000227408,0,0,0,0
ENSG00000227409,0,1,0,0
ENSG00000227411,13,8,6,12
ENSG00000227412,0,0,0,0
ENSG00000227413,0,0,0,0
ENSG00000227416,0,0,0,0
ENSG00000227417,0,2,0,0
ENSG00000227418,0,0,0,0
ENSG00000227421,0,0,0,1
ENSG00000227423,0,1,0,0
ENSG00000227425,0,0,0,0
ENSG00000227426,0,0,0,0
ENSG00000227427,0,0,0,0
ENSG00000227430,0,0,0,0
ENSG00000227431,0,0,0,0
ENSG00000227432,0,0,0,0
ENSG00000227433,0,0,0,1
ENSG00000227434,0,0,0,0
ENSG00000227436,0,0,0,0
ENSG00000227437,0,0,0,0
ENSG00000227438,0,0,0,0
ENSG00000227439,0,0,0,0
ENSG00000227440,1,0,1,0
ENSG00000227443,0,0,0,0
ENSG00000227444,0,0,0,0
ENSG00000227445,0,0,0,0
ENSG00000227447,0,0,0,0
ENSG00000227449,0,0,0,8
ENSG00000227453,0,0,0,0
ENSG00000227454,0,0,0,0
ENSG00000227455,0,0,0,0
ENSG00000227456,5,3,3,16
ENSG00000227459,0,0,0,0
ENSG00000227462,1,1,2,1
ENSG00000227463,0,0,0,0
ENSG00000227465,0,0,0,0
ENSG00000227466,0,0,0,0
ENSG00000227467,3,16,20,35
ENSG00000227470,0,0,0,1
ENSG00000227471,544,396,76,2
ENSG00000227473,1,2,1,4
ENSG00000227474,0,0,0,0
ENSG00000227475,0,0,0,0
ENSG00000227477,8,3,9,33
ENSG00000227479,0,0,1,0
ENSG00000227480,0,0,0,0
ENSG00000227481,0,0,0,1
ENSG00000227482,40,13,2,3
ENSG00000227484,0,0,0,0
ENSG00000227485,0,0,0,0
ENSG00000227486,3,1,5,2
ENSG00000227487,0,0,0,0
ENSG00000227488,0,0,0,0
ENSG00000227489,0,0,0,0
ENSG00000227491,0,0,0,0
ENSG00000227492,1,2,2,2
ENSG00000227493,0,0,0,0
ENSG00000227494,0,0,0,0
ENSG00000227495,3,1,8,2
ENSG00000227496,1,57,1,2
ENSG00000227497,0,0,0,0
ENSG00000227498,0,0,0,0
ENSG00000227499,0,0,0,0
ENSG00000227500,1260,1498,1235,1268
ENSG00000227502,36,21,59,38
ENSG00000227505,0,0,0,0
ENSG00000227507,84,211,412,140
ENSG00000227508,1,7,0,2
ENSG00000227509,0,0,0,0
ENSG00000227510,0,0,0,0
ENSG00000227511,0,0,0,0
ENSG00000227512,0,0,1,2
ENSG00000227513,0,0,0,1
ENSG00000227514,0,0,0,0
ENSG00000227515,0,0,0,0
ENSG00000227516,0,0,0,0
ENSG00000227517,1,0,0,0
ENSG00000227518,0,0,0,1
ENSG00000227519,0,0,0,0
ENSG00000227521,0,0,0,0
ENSG00000227523,0,2,1,0
ENSG00000227525,0,2,22,6
ENSG00000227527,4,4,15,6
ENSG00000227528,0,0,0,0
ENSG00000227531,0,1,0,0
ENSG00000227532,0,0,0,0
ENSG00000227533,3,2,18,1
ENSG00000227534,0,0,0,0
ENSG00000227535,0,0,0,0
ENSG00000227536,0,4,1,1
ENSG00000227537,0,0,0,0
ENSG00000227538,0,0,0,0
ENSG00000227540,5,9,13,4
ENSG00000227541,0,0,0,0
ENSG00000227542,1,0,1,0
ENSG00000227543,14,33,67,31
ENSG00000227544,5,16,10,8
ENSG00000227545,0,0,0,0
ENSG00000227547,0,0,0,0
ENSG00000227549,0,0,0,0
ENSG00000227550,0,0,0,0
ENSG00000227551,0,0,0,0
ENSG00000227554,0,0,0,0
ENSG00000227555,2,0,0,14
ENSG00000227556,0,0,0,0
ENSG00000227557,0,0,0,0
ENSG00000227560,1,0,2,1
ENSG00000227562,0,0,0,0
ENSG00000227563,0,0,0,0
ENSG00000227564,0,0,0,0
ENSG00000227568,0,0,7,1
ENSG00000227573,0,0,0,0
ENSG00000227574,0,0,0,0
ENSG00000227578,0,0,0,0
ENSG00000227579,0,2,0,1
ENSG00000227581,0,0,0,0
ENSG00000227582,0,0,0,1
ENSG00000227583,0,0,0,0
ENSG00000227584,0,0,0,0
ENSG00000227585,0,0,0,0
ENSG00000227586,0,0,0,0
ENSG00000227588,0,0,0,2
ENSG00000227589,16,2,0,0
ENSG00000227590,0,0,0,0
ENSG00000227591,18,20,26,57
ENSG00000227592,0,0,0,0
ENSG00000227593,0,0,0,0
ENSG00000227597,0,0,0,0
ENSG00000227598,0,3,1,5
ENSG00000227599,0,0,0,0
ENSG00000227602,0,0,0,0
ENSG00000227603,1,6,2,11
ENSG00000227604,0,0,0,0
ENSG00000227606,0,0,0,0
ENSG00000227607,0,0,0,0
ENSG00000227609,0,0,0,0
ENSG00000227610,0,0,0,0
ENSG00000227611,0,0,0,0
ENSG00000227613,0,0,0,0
ENSG00000227615,14,92,347,124
ENSG00000227616,0,0,0,0
ENSG00000227617,0,1,3,1
ENSG00000227619,0,0,6,3
ENSG00000227620,0,1,1,1
ENSG00000227621,19,33,14,2
ENSG00000227623,0,0,0,0
ENSG00000227624,1,0,0,0
ENSG00000227625,0,0,0,0
ENSG00000227627,0,0,1,0
ENSG00000227629,0,0,0,0
ENSG00000227630,2,5,4,5
ENSG00000227632,3,2,6,10
ENSG00000227633,0,0,0,0
ENSG00000227634,1,0,4,28
ENSG00000227635,0,0,0,0
ENSG00000227638,0,0,1,0
ENSG00000227640,0,1,0,0
ENSG00000227644,0,0,0,0
ENSG00000227645,0,1,0,0
ENSG00000227646,0,2,3,1
ENSG00000227649,0,0,0,0
ENSG00000227653,0,0,0,0
ENSG00000227657,0,0,0,1
ENSG00000227658,0,0,0,0
ENSG00000227659,0,0,0,0
ENSG00000227660,0,0,0,0
ENSG00000227661,0,0,0,0
ENSG00000227663,0,0,1,0
ENSG00000227666,0,1,0,0
ENSG00000227667,0,0,0,0
ENSG00000227671,140,227,45,56
ENSG00000227673,0,0,0,0
ENSG00000227674,0,7,27,0
ENSG00000227676,0,0,0,0
ENSG00000227678,0,2,1,3
ENSG00000227679,0,0,0,0
ENSG00000227680,0,0,0,0
ENSG00000227681,0,5,1,0
ENSG00000227682,2,0,0,0
ENSG00000227683,0,0,0,0
ENSG00000227684,0,0,0,0
ENSG00000227685,0,0,0,0
ENSG00000227687,0,0,0,0
ENSG00000227688,0,0,0,0
ENSG00000227689,0,0,0,0
ENSG00000227692,2,2,2,1
ENSG00000227693,0,0,0,0
ENSG00000227694,1,0,8,6
ENSG00000227695,7,20,32,25
ENSG00000227698,2,1,0,0
ENSG00000227700,0,0,0,0
ENSG00000227702,0,0,0,0
ENSG00000227704,0,0,0,0
ENSG00000227705,1,1,2,0
ENSG00000227706,1,0,0,0
ENSG00000227707,0,0,0,0
ENSG00000227708,0,0,0,0
ENSG00000227709,0,0,0,0
ENSG00000227710,0,0,2,0
ENSG00000227711,0,0,0,0
ENSG00000227712,3,16,19,52
ENSG00000227713,0,0,0,0
ENSG00000227714,0,0,0,0
ENSG00000227716,0,0,0,0
ENSG00000227717,0,0,0,0
ENSG00000227718,0,0,0,0
ENSG00000227719,11,5,1,3
ENSG00000227721,0,1,0,0
ENSG00000227722,0,0,0,0
ENSG00000227723,0,0,0,0
ENSG00000227725,2,0,0,0
ENSG00000227726,0,1,0,0
ENSG00000227728,0,0,0,0
ENSG00000227729,0,0,0,18
ENSG00000227730,0,0,0,0
ENSG00000227733,4,6,1,1
ENSG00000227734,0,0,0,0
ENSG00000227735,1,0,0,0
ENSG00000227736,0,0,0,0
ENSG00000227737,0,0,0,0
ENSG00000227738,0,0,0,0
ENSG00000227740,0,1,4,0
ENSG00000227741,4,1,2,1
ENSG00000227742,2,6,1,4
ENSG00000227743,1,0,0,0
ENSG00000227744,0,0,0,0
ENSG00000227745,0,0,0,0
ENSG00000227747,0,0,1,0
ENSG00000227748,0,0,0,0
ENSG00000227751,0,0,0,0
ENSG00000227753,0,0,0,0
ENSG00000227755,0,0,1,0
ENSG00000227757,0,0,0,0
ENSG00000227758,1,0,0,0
ENSG00000227759,0,0,0,0
ENSG00000227760,0,0,0,0
ENSG00000227762,0,0,0,0
ENSG00000227764,0,0,0,0
ENSG00000227765,0,3,0,1
ENSG00000227766,314,394,92,10
ENSG00000227769,0,0,0,0
ENSG00000227770,0,0,1,0
ENSG00000227773,1,0,0,0
ENSG00000227775,27,38,15,96
ENSG00000227776,0,0,0,0
ENSG00000227777,0,0,0,0
ENSG00000227779,0,0,0,0
ENSG00000227782,5,8,6,4
ENSG00000227784,0,0,0,0
ENSG00000227785,0,0,0,0
ENSG00000227788,0,0,1,0
ENSG00000227789,0,0,0,0
ENSG00000227790,0,0,0,0
ENSG00000227791,0,3,5,5
ENSG00000227795,0,0,0,0
ENSG00000227799,11,11,33,9
ENSG00000227800,0,0,0,0
ENSG00000227802,3,1,0,2
ENSG00000227803,0,0,0,0
ENSG00000227805,0,0,0,0
ENSG00000227806,0,0,0,0
ENSG00000227809,0,0,0,0
ENSG00000227811,0,0,1,0
ENSG00000227813,1,0,0,0
ENSG00000227814,0,0,0,0
ENSG00000227815,0,2,1,0
ENSG00000227817,0,0,0,0
ENSG00000227818,0,0,0,0
ENSG00000227824,0,0,0,0
ENSG00000227825,1,5,1,19
ENSG00000227827,0,0,3,1
ENSG00000227830,0,0,0,0
ENSG00000227832,0,0,0,0
ENSG00000227834,0,1,0,3
ENSG00000227835,0,0,0,0
ENSG00000227836,0,0,1,0
ENSG00000227837,0,0,0,0
ENSG00000227838,0,0,0,0
ENSG00000227840,0,0,0,0
ENSG00000227841,0,0,0,0
ENSG00000227842,0,0,0,0
ENSG00000227845,0,0,0,0
ENSG00000227846,0,0,0,1
ENSG00000227847,0,0,1,0
ENSG00000227848,4,3,2,9
ENSG00000227850,0,0,0,0
ENSG00000227851,0,0,0,0
ENSG00000227852,0,0,1,4
ENSG00000227854,0,0,1,2
ENSG00000227855,16,9,5,13
ENSG00000227857,4,0,8,0
ENSG00000227860,0,0,0,0
ENSG00000227862,0,0,0,0
ENSG00000227863,0,0,0,0
ENSG00000227864,0,0,0,0
ENSG00000227867,0,0,0,0
ENSG00000227868,0,0,1,1
ENSG00000227869,0,0,0,0
ENSG00000227871,0,0,0,0
ENSG00000227873,1,0,0,0
ENSG00000227874,0,0,0,0
ENSG00000227875,0,0,0,0
ENSG00000227877,0,1,0,0
ENSG00000227878,0,0,0,0
ENSG00000227879,0,0,1,1
ENSG00000227880,0,0,0,0
ENSG00000227881,0,2,9,7
ENSG00000227882,0,1,0,0
ENSG00000227883,0,0,0,0
ENSG00000227885,0,0,6,0
ENSG00000227887,0,0,2,3
ENSG00000227888,0,1,0,0
ENSG00000227890,0,0,0,2
ENSG00000227892,0,0,0,0
ENSG00000227893,0,0,0,0
ENSG00000227895,0,0,0,0
ENSG00000227896,7,12,15,14
ENSG00000227902,0,0,0,0
ENSG00000227905,0,0,0,0
ENSG00000227906,6,9,12,11
ENSG00000227907,0,0,0,0
ENSG00000227908,1,4,11,3
ENSG00000227910,6,0,0,4
ENSG00000227911,0,0,0,0
ENSG00000227912,0,0,0,0
ENSG00000227913,1,0,0,0
ENSG00000227914,0,0,1,0
ENSG00000227915,0,0,0,0
ENSG00000227917,0,0,0,0
ENSG00000227919,0,0,0,0
ENSG00000227920,0,1,0,0
ENSG00000227922,0,0,0,0
ENSG00000227923,0,0,0,0
ENSG00000227924,0,0,0,0
ENSG00000227925,0,0,0,0
ENSG00000227927,0,1,0,0
ENSG00000227929,0,0,0,0
ENSG00000227930,0,0,0,0
ENSG00000227932,0,0,0,0
ENSG00000227933,0,0,3,0
ENSG00000227934,0,0,0,0
ENSG00000227935,0,0,0,0
ENSG00000227937,0,0,0,0
ENSG00000227938,0,0,0,0
ENSG00000227939,6,5,15,22
ENSG00000227940,0,0,0,0
ENSG00000227941,0,0,0,0
ENSG00000227942,0,0,0,0
ENSG00000227945,0,0,1,0
ENSG00000227946,20,19,18,46
ENSG00000227947,0,0,0,1
ENSG00000227948,0,0,2,1
ENSG00000227949,0,0,0,0
ENSG00000227950,0,0,0,0
ENSG00000227952,0,0,0,0
ENSG00000227953,3,57,65,4
ENSG00000227954,0,3,1,5
ENSG00000227958,0,0,0,0
ENSG00000227959,2,9,6,4
ENSG00000227960,0,0,0,0
ENSG00000227962,0,0,0,0
ENSG00000227963,9,20,7,14
ENSG00000227964,0,0,0,0
ENSG00000227965,0,0,0,0
ENSG00000227968,0,0,0,0
ENSG00000227969,0,0,0,0
ENSG00000227970,0,0,0,0
ENSG00000227971,0,0,0,0
ENSG00000227972,0,5,0,0
ENSG00000227973,2,2,3,2
ENSG00000227979,0,0,0,0
ENSG00000227981,0,0,0,0
ENSG00000227982,0,0,0,0
ENSG00000227983,0,0,0,0
ENSG00000227986,19,12,0,3
ENSG00000227987,0,0,0,0
ENSG00000227988,0,0,0,0
ENSG00000227989,0,0,0,0
ENSG00000227992,1,10,1,1
ENSG00000227994,0,0,0,0
ENSG00000227995,0,0,0,0
ENSG00000227999,28,11,3,6
ENSG00000228000,0,0,0,0
ENSG00000228002,0,0,0,1
ENSG00000228004,0,0,0,0
ENSG00000228005,0,0,0,0
ENSG00000228007,0,0,0,0
ENSG00000228008,2,0,1,0
ENSG00000228010,4,1,0,3
