ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0005539	glycosaminoglycan binding	4/63	228/18337	0.00782005367711007	0.172854422755861	0.140993126786508	PCOLCE2/DPYSL3/CD44/SULF1	4
MF	GO:0061134	peptidase regulator activity	4/63	230/18337	0.00805895885747348	0.172854422755861	0.140993126786508	PCOLCE2/CST2/RARRES1/GAS6	4
MF	GO:0031492	nucleosomal DNA binding	2/63	40/18337	0.00833128160447355	0.172854422755861	0.140993126786508	HDAC1/ACTB	2
MF	GO:0008307	structural constituent of muscle	2/63	42/18337	0.00915607980799557	0.172854422755861	0.140993126786508	ANKRD2/NEBL	2
MF	GO:0140297	DNA-binding transcription factor binding	5/63	376/18337	0.00938163165514381	0.172854422755861	0.140993126786508	NHLH2/HDAC1/ANKRD2/ACTB/CRX	5
MF	GO:0017124	SH3 domain binding	3/63	128/18337	0.00972773807716968	0.172854422755861	0.140993126786508	DPYSL3/INPP5D/DTX1	3
MF	GO:0015485	cholesterol binding	2/63	50/18337	0.0127999642962964	0.193131464755635	0.157532614223097	OSBPL7/CETP	2
MF	GO:0001085	RNA polymerase II transcription factor binding	2/63	52/18337	0.0137946320063465	0.193131464755635	0.157532614223097	HDAC1/CRX	2
MF	GO:0004869	cysteine-type endopeptidase inhibitor activity	2/63	56/18337	0.0158810061080878	0.193131464755635	0.157532614223097	CST2/GAS6	2
MF	GO:0001786	phosphatidylserine binding	2/63	60/18337	0.0180936029867156	0.193131464755635	0.157532614223097	SYT1/GAS6	2
MF	GO:0032934	sterol binding	2/63	60/18337	0.0180936029867156	0.193131464755635	0.157532614223097	OSBPL7/CETP	2
MF	GO:0005518	collagen binding	2/63	68/18337	0.0228826308510661	0.193131464755635	0.157532614223097	PCOLCE2/CD44	2
MF	GO:0004866	endopeptidase inhibitor activity	3/63	180/18337	0.0240303620215216	0.193131464755635	0.157532614223097	CST2/RARRES1/GAS6	3
MF	GO:0031491	nucleosome binding	2/63	70/18337	0.0241530440538601	0.193131464755635	0.157532614223097	HDAC1/ACTB	2
MF	GO:0030414	peptidase inhibitor activity	3/63	187/18337	0.0265122899454549	0.193131464755635	0.157532614223097	CST2/RARRES1/GAS6	3
MF	GO:0003725	double-stranded RNA binding	2/63	76/18337	0.0281327944071449	0.193131464755635	0.157532614223097	ZFR2/MSN	2
MF	GO:0061135	endopeptidase regulator activity	3/63	192/18337	0.0283663776898981	0.193131464755635	0.157532614223097	CST2/RARRES1/GAS6	3
MF	GO:0016829	lyase activity	3/63	194/18337	0.0291269436941991	0.193131464755635	0.157532614223097	PCK1/GAD1/PISD	3
MF	GO:0033613	activating transcription factor binding	2/63	78/18337	0.0295141102079003	0.193131464755635	0.157532614223097	NHLH2/HDAC1	2
MF	GO:0004955	prostaglandin receptor activity	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	HPGD	1
MF	GO:0030957	Tat protein binding	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	ACTB	1
MF	GO:0031078	histone deacetylase activity (H3-K14 specific)	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	HDAC1	1
MF	GO:0032041	NAD-dependent histone deacetylase activity (H3-K14 specific)	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	HDAC1	1
MF	GO:0035374	chondroitin sulfate binding	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	DPYSL3	1
MF	GO:0099186	structural constituent of postsynapse	1/63	10/18337	0.0338386050806917	0.193131464755635	0.157532614223097	ACTB	1
MF	GO:0043178	alcohol binding	2/63	86/18337	0.0353017963526568	0.193131464755635	0.157532614223097	OSBPL7/CETP	2
MF	GO:0004954	prostanoid receptor activity	1/63	11/18337	0.0371598342987808	0.193131464755635	0.157532614223097	HPGD	1
MF	GO:0043422	protein kinase B binding	1/63	11/18337	0.0371598342987808	0.193131464755635	0.157532614223097	ANKRD2	1
MF	GO:0043522	leucine zipper domain binding	1/63	11/18337	0.0371598342987808	0.193131464755635	0.157532614223097	CRX	1
MF	GO:0140299	small molecule sensor activity	1/63	11/18337	0.0371598342987808	0.193131464755635	0.157532614223097	SYT1	1
MF	GO:0034595	phosphatidylinositol phosphate 5-phosphatase activity	1/63	12/18337	0.0404698272289988	0.193131464755635	0.157532614223097	INPP5D	1
MF	GO:0035256	G protein-coupled glutamate receptor binding	1/63	12/18337	0.0404698272289988	0.193131464755635	0.157532614223097	NECAB2	1
MF	GO:0042301	phosphate ion binding	1/63	12/18337	0.0404698272289988	0.193131464755635	0.157532614223097	GNG12	1
MF	GO:0072341	modified amino acid binding	2/63	93/18337	0.0406952397980793	0.193131464755635	0.157532614223097	SYT1/GAS6	2
MF	GO:0004857	enzyme inhibitor activity	4/63	385/18337	0.0432751986182524	0.193131464755635	0.157532614223097	CST2/RARRES1/ANGPTL4/GAS6	4
MF	GO:0039706	co-receptor binding	1/63	13/18337	0.0437686212745416	0.193131464755635	0.157532614223097	DKK3	1
MF	GO:0052745	inositol phosphate phosphatase activity	1/63	13/18337	0.0437686212745416	0.193131464755635	0.157532614223097	INPP5D	1
MF	GO:0106019	phosphatidylinositol-4,5-bisphosphate phosphatase activity	1/63	13/18337	0.0437686212745416	0.193131464755635	0.157532614223097	INPP5D	1
MF	GO:0005496	steroid binding	2/63	100/18337	0.046378145268834	0.193131464755635	0.157532614223097	OSBPL7/CETP	2
MF	GO:0004065	arylsulfatase activity	1/63	14/18337	0.0470562537161321	0.193131464755635	0.157532614223097	SULF1	1
MF	GO:0050998	nitric-oxide synthase binding	1/63	14/18337	0.0470562537161321	0.193131464755635	0.157532614223097	ACTB	1
MF	GO:0070403	NAD+ binding	1/63	14/18337	0.0470562537161321	0.193131464755635	0.157532614223097	HPGD	1
MF	GO:0071837	HMG box domain binding	1/63	14/18337	0.0470562537161321	0.193131464755635	0.157532614223097	HOXC4	1
MF	GO:0004725	protein tyrosine phosphatase activity	2/63	102/18337	0.0480526940402619	0.193131464755635	0.157532614223097	RNGTT/PTPRZ1	2
MF	GO:0031490	chromatin DNA binding	2/63	103/18337	0.0488982105647153	0.193131464755635	0.157532614223097	HDAC1/ACTB	2
